STATE,DISTRICT,NAME,PARTY,CHAMBER,EXPERIENCE,VOTING_MEMBER,IN_CYCLE,RETIREMENT,CPR_TOSSUP,COMMITTEE_ID,COMMITTEE_NAME,,
Illinois,12,"Bost, Mike",Republican,House,incumbent,Y,Y,N,N,C00546499,MIKE BOST FOR CONGRESS COMMITTEE,,
Illinois,13,"Budzinski, Nikki",Democratic,House,freshman,Y,Y,N,N,C00787812,NIKKI FOR CONGRESS,,
Illinois,14,"Underwood, Lauren",Democratic,House,incumbent,Y,Y,N,N,C00652719,LAUREN UNDERWOOD FOR CONGRESS,,
Illinois,15,"Miller, Mary E.",Republican,House,incumbent,Y,Y,N,N,C00723916,MARY MILLER FOR CONGRESS,,
Illinois,16,"LaHood, Darin",Republican,House,incumbent,Y,Y,N,N,C00575050,LAHOOD FOR CONGRESS,,
Illinois,17,"Sorensen, Eric",Democratic,House,freshman,Y,Y,N,N,C00793935,ERIC SORENSEN FOR ILLINOIS,,
Illinois,Senator - At Large,"Duckworth, Tammy",Democratic,Senate,incumbent,Y,N,N,N,C00574889,TAMMY FOR ILLINOIS,,
Illinois,Senator - At Large,"Durbin, Richard J.",Democratic,Senate,incumbent,Y,N,N,N,C00148999,FRIENDS OF DICK DURBIN COMMITTEE,,
Indiana,1,"Mrvan, Frank J.",Democratic,House,incumbent,Y,Y,N,N,C00727529,MRVAN FOR CONGRESS,,
Indiana,2,"Yakym, Rudy",Republican,House,incumbent,Y,Y,N,N,C00822767,RUDY FOR INDIANA,,
Indiana,3,"Banks, Jim",Republican,House,incumbent,Y,Y,Y,N,C00577999,BANKS FOR SENATE,,
Indiana,4,"Baird, James R.",Republican,House,incumbent,Y,Y,N,N,C00662940,ELECT JIM BAIRD FOR CONGRESS,,
Indiana,5,"Spartz, Victoria",Republican,House,incumbent,Y,Y,N,N,C00737767,VICTORIA SPARTZ FOR CONGRESS,,
Indiana,6,"Pence, Greg",Republican,House,incumbent,Y,Y,Y,N,C00658401,GREG PENCE FOR CONGRESS,,
Indiana,7,"Carson, Andre",Democratic,House,incumbent,Y,Y,N,N,C00442921,ANDRE CARSON FOR CONGRESS,,
Indiana,8,"Bucshon, Larry",Republican,House,incumbent,Y,Y,Y,N,C00468256,BUCSHON FOR CONGRESS,,
Indiana,9,"Houchin, Erin",Republican,House,freshman,Y,Y,N,N,C00800649,HOUCHIN FOR CONGRESS,,
Indiana,Senator - At Large,"Braun, Mike",Republican,Senate,incumbent,Y,"NA, RETIRED",Y,N,C00653147,MIKE BRAUN FOR INDIANA,,
Indiana,Senator - At Large,"Young, Todd",Republican,Senate,incumbent,Y,N,N,N,C00459255,"FRIENDS OF TODD YOUNG, INC.",,
Iowa,1,"Miller-Meeks, Mariannette",Republican,House,incumbent,Y,Y,N,Y,C00558825,MILLER-MEEKS FOR CONGRESS,,
Iowa,2,"Hinson, Ashley",Republican,House,incumbent,Y,Y,N,N,C00706267,ASHLEY HINSON FOR CONGRESS,,
Iowa,3,"Nunn, Zachary",Republican,House,freshman,Y,Y,N,Y,C00784389,IOWANS FOR ZACH NUNN,,
