NAME,LEADERSHIP_PAC_1_ID,PAC 1 RECEIPTS,LEADERSHIP_PAC_2_ID,PAC 2 RECEIPTS,LEADERSHIP_PAC_3_ID,PAC 3 RECEIPTS,LEADERSHIP_PAC_4,PAC 4 RECEIPTS,TOTAL RECEIPTS,,,,,,,,,,,
"Norton, Eleanor Holmes",C00792895,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
VACANT,,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Dunn, Neal P.",C00680405,71115.03,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Cammack, Kat",C00756551,174870.86,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bean, Aaron",C00824938,124575.24,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Rutherford, John H.",C00687020,93446.53,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Waltz, Michael",C00693671,257525.41,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Mills, Cory",C00778449,17871.53,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Posey, Bill",C00471813,18300,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Soto, Darren",C00692590,67026.5,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Frost, Maxwell",C00826685,123308.92,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Webster, Daniel",C00525592,26250,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bilirakis, Gus M.",C00531517,144868.59,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Luna, Anna Paulina",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Castor, Kathy",C00526301,84500.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lee, Laurel M.",C00825430,249415.74,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Buchanan, Vern",C00431403,210035.85,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Steube, W. Gregory",C00695874,171453.46,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Franklin, C. Scott",C00770701,94829.39,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Donalds, Byron",C00755728,235708.95,C00894147,0,,#N/A,,#N/A,,,,,,,,,,,,
"Cherfilus-McCormick, Sheila",C00806240,7550,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Mast, Brian J.",C00583153,283217.11,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Frankel, Lois",C00545137,52000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Moskowitz, Jared",C00831362,122242.86,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Wilson, Frederica S.",C00545970,35000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Wasserman Schultz, Debbie",C00425470,563387.31,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Diaz-Balart, Mario",C00565630,208666.23,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Salazar, Maria Elvira",C00769695,306392.28,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Gimenez, Carlos A.",C00737270,83775.47,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Rubio, Marco",C00500025,897715.21,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Scott, Rick",C00692327,2530190.03,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Carter, Earl L. ""Buddy""",C00597062,308317.86,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bishop, Sanford D., Jr.",C00452748,87000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Ferguson, A. Drew, IV",C00738260,216628.17,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Johnson, Henry C. ""Hank,"" Jr.",C00540989,30750,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Williams, Nikema",C00769216,82900,,0,,#N/A,,#N/A,,,,,,,,,,,,
"McCormick, Richard",C00819425,198754.36,,0,,#N/A,,#N/A,,,,,,,,,,,,
"McBath, Lucy",C00691352,81171.66,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Scott, Austin",C00500793,143500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Clyde, Andrew S.",C00482703,48100,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Collins, Mike",C00802595,246351.78,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Loudermilk, Barry",C00568089,73784.2,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Allen, Rick W.",C00635201,26000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Scott, David",C00430579,191000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Greene, Marjorie Taylor",C00755199,137805.65,C00869826,20088.89,,#N/A,,#N/A,,,,,,,,,,,,
"Ossoff, Jon",C00769109,762940.6,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Warnock, Raphael G.",C00767871,319450.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Moylan, James C.",C00853531,10146.25,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Case, Ed",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Tokuda, Jill N.",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Hirono, Mazie K.",C00539601,486684.28,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Schatz, Brian",C00567693,655347.89,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Fulcher, Russ",C00729897,47500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Simpson, Michael K.",C00461996,141500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Crapo, Mike",C00390674,1194000.75,C00544270,74250,,#N/A,,#N/A,,,,,,,,,,,,
"Risch, James E.",C00656637,0,C00461723,0,C00772434,291255,C00772442,21200,,,,,,,,,,,,
"Jackson, Jonathan L.",C00886390,40100,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Kelly, Robin L.",C00603134,96530,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Ramirez, Delia C.",C00863712,16800,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Garcia, Jesus G. ""Chuy""",C00690669,35800,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Quigley, Mike",C00662056,97000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Casten, Sean",C00747642,95245.92,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Davis, Danny K.",C00882043,12780,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Krishnamoorthi, Raja",C00649772,847278,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Schakowsky, Janice D.",C00381806,264000.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Schneider, Bradley Scott",C00655423,406208,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Foster, Bill",C00571943,107580.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bost, Mike",C00629832,115966.86,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Budzinski, Nikki",C00840462,274264,,0,,#N/A,,#N/A,,,,,,,,,,,,
