NAME,STATE,DISTRICT,PARTY,EXPERIENCE,CHAMBER,VOTING_MEMBER,LEADERSHIP_PAC_1,LEADERSHIP_PAC_2,LEADERSHIP_PAC_3,LEADERSHIP_PAC_4,LEADERSHIP_PAC_1_ID,LEADERSHIP_PAC_1_NAME,LEADERSHIP_PAC_2_ID,LEADERSHIP_PAC_2_NAME,LEADERSHIP_PAC_3_ID,LEADERSHIP_PAC_3_NAME,LEADERSHIP_PAC_4_ID,LEADERSHIP_PAC_4_NAME
"Stauber, Pete",Minnesota,8,Republican,incumbent,House,Y,Y,N,N,N,C00698092,Let's All Keep Electing Republicans PAC,,,,,,
"Klobuchar, Amy",Minnesota,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00431874,Follow the North Star Fund,,,,,,
"Smith, Tina",Minnesota,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00692111,Velvet Hammer PAC,,,,,,
"Kelly, Trent",Mississippi,1,Republican,incumbent,House,Y,Y,N,N,N,C00778308,SOUTHERN STATES PAC,,,,,,
"Thompson, Bennie G.",Mississippi,2,Democratic,incumbent,House,Y,Y,N,N,N,C00411611,Secure PAC,,,,,,
"Guest, Michael",Mississippi,3,Republican,incumbent,House,Y,Y,N,N,N,C00689893,Guest PAC,,,,,,
"Ezell, Mike",Mississippi,4,Republican,freshman,House,Y,Y,N,N,N,C00832808,New Sheriff PAC,,,,,,
"Hyde-Smith, Cindy",Mississippi,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00678813,Conservatives Harvesting Success PAC,,,,,,
"Wicker, Roger F.",Mississippi,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00368696,Responsibility & Freedom Work PAC,,,,,,
"Bush, Cori",Missouri,1,Democratic,incumbent,House,Y,Y,N,N,N,C00826917,POLITIVIST LPAC,,,,,,
"Wagner, Ann",Missouri,2,Republican,incumbent,House,Y,Y,N,N,N,C00531764,Ann PAC,,,,,,
"Luetkemeyer, Blaine",Missouri,3,Republican,incumbent,House,Y,Y,N,N,N,C00489427,Building Leadership & Inspiring New Enterprise,,,,,,
"Alford, Mark",Missouri,4,Republican,freshman,House,Y,Y,N,N,N,C00825398,MISSOURI TRUTH PAC,,,,,,
"Cleaver, Emanuel",Missouri,5,Democratic,incumbent,House,Y,Y,N,N,N,C00599092,Wolf Pack,,,,,,
"Graves, Sam",Missouri,6,Republican,incumbent,House,Y,Y,N,N,N,C00410621,Show Me PAC,,,,,,
"Burlison, Eric",Missouri,7,Republican,freshman,House,Y,Y,N,N,N,C00823914,EVER RELENTLESS IN CONSERVATISM,,,,,,
"Smith, Jason",Missouri,8,Republican,incumbent,House,Y,Y,N,N,N,C00563726,Mr Southern Missourian in the House,,,,,,
"Hawley, Josh",Missouri,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00692640,Fighting for Missouri PAC,,,,,,
"Schmitt, Eric",Missouri,At Large,Republican,freshman,Senate,Y,Y,N,N,N,C00826362,WINNING FOR AMERICA PAC,,,,,,
"Zinke, Ryan K.",Montana,1,Republican,incumbent,House,Y,N,N,N,N,,,,,,,,
"Rosendale Sr., Matthew M.",Montana,2,Republican,incumbent,House,Y,Y,N,N,N,C00764431,406 PAC,,,,,,
"Daines, Steve",Montana,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00542027,Big Sky Opportunity PAC,C00739003,Montana Red,,,,
"Tester, Jon",Montana,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00433680,Treasure State PAC,,,,,,
"Flood, Mike",Nebraska,1,Republican,incumbent,House,Y,Y,N,N,N,C00832568,HIGH WATER PAC,,,,,,
"Bacon, Don",Nebraska,2,Republican,incumbent,House,Y,Y,N,N,N,C00647420,BACON PAC,,,,,,
"Smith, Adrian",Nebraska,3,Republican,incumbent,House,Y,Y,N,N,N,C00481176,Concerned Americans for Freedom & Opportunity,,,,,,
"Fischer, Deb",Nebraska,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00540054,Nebraska Sandhills PAC,C00568709,Bridging the Gap,,,,
"Ricketts, Pete",Nebraska,At Large,Republican,freshman,Senate,Y,Y,N,N,N,C00832501,AMERICAN EXCELLENCE PAC,,,,,,
"Titus, Dina",Nevada,1,Democratic,incumbent,House,Y,Y,N,N,N,C00450577,Democrats Time In Nevada,,,,,,
"Amodei, Mark E.",Nevada,2,Republican,incumbent,House,Y,Y,N,N,N,C00893818,PONDEROSA PAC,,,,,,
"Lee, Susie",Nevada,3,Democratic,incumbent,House,Y,Y,N,N,N,C00721233,Beat the Odds PAC,,,,,,
"Horsford, Steven",Nevada,4,Democratic,incumbent,House,Y,Y,N,N,N,C00707232,Blue Nevada PAC,,,,,,
"Cortez Masto, Catherine",Nevada,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00629212,All for Our Country,,,,,,
"Rosen, Jacky",Nevada,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00654475,Smart Solutions PAC,,,,,,
"Pappas, Chris",New Hampshire,1,Democratic,incumbent,House,Y,Y,N,N,N,C00760009,Putting New Hampshire First,,,,,,
"Kuster, Ann M.",New Hampshire,2,Democratic,incumbent,House,Y,Y,Y,N,N,C00540062,AnniePAC,C00844639,Democratic Turnout Project PAC,,,,
"Hassan, Margaret Wood",New Hampshire,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00629311,Granite Values,,,,,,
"Shaheen, Jeanne",New Hampshire,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00458570,A New Direction PAC,,,,,,
"Norcross, Donald",New Jersey,1,Democratic,incumbent,House,Y,Y,N,N,N,C00575894,Blue Power,,,,,,
"Van Drew, Jefferson",New Jersey,2,Republican,incumbent,House,Y,Y,N,N,N,C00726729,South Jersey United in Trust (SJUIT) PAC,,,,,,
"Kim, Andy",New Jersey,3,Democratic,incumbent,House,Y,Y,N,N,N,C00761957,In Our Hands,,,,,,
"Smith, Christopher H.",New Jersey,4,Republican,incumbent,House,Y,Y,N,N,N,C00524322,Citizens Strengthening Our Majority in the House,,,,,,
"Gottheimer, Josh",New Jersey,5,Democratic,incumbent,House,Y,Y,N,N,N,C00652164,Jersey Values PAC,,,,,,
"Pallone, Frank, Jr.",New Jersey,6,Democratic,incumbent,House,Y,Y,N,N,N,C00410308,Shore PAC,,,,,,
"Kean, Thomas H.",New Jersey,7,Republican,freshman,House,Y,Y,N,N,N,C00784694,TKJ PAC,,,,,,
"Menendez, Robert",New Jersey,8,Democratic,freshman,House,Y,Y,N,N,N,C00847095,Resilient Majority PAC,,,,,,
"Pascrell, Bill",New Jersey,9,Democratic,incumbent,House,Y,Y,N,N,N,,,,,,,,
LaMonica McIver,New Jersey,10,Democratic,freshman,House,Y,Y,,,,C00891861,TOGETHER FORWARD,,,,,,
"Sherrill, Mikie",New Jersey,11,Democratic,incumbent,House,Y,Y,N,N,N,C00704247,Gateway to Leadership PAC,,,,,,
"Watson Coleman, Bonnie",New Jersey,12,Democratic,incumbent,House,Y,Y,N,N,N,C00610840,Because Women Can,,,,,,
"Booker, Cory A.",New Jersey,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00497131,Purpose PAC,,,,,,
"Menendez, Robert",New Jersey,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00349233,New Millennium PAC,,,,,,
"Stansbury, Melanie Ann",New Mexico,1,Democratic,incumbent,House,Y,Y,N,N,N,C00830919,GRIT & HEART PAC,,,,,,
"Vasquez, Gabe",New Mexico,2,Democratic,freshman,House,Y,Y,N,N,N,C00834515,PAC A PUNCH,,,,,,
"Leger Fernandez, Teresa",New Mexico,3,Democratic,incumbent,House,Y,Y,N,N,N,C00764753,AHORA PAC,,,,,,
"Heinrich, Martin",New Mexico,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00497073,Lobo PAC,,,,,,
"Lujan, Ben Ray",New Mexico,At Large,Democratic,incumbent,Senate,Y,Y,Y,N,N,C00517235,Turquoise PAC,C00814616,Senate Fight Fund,,,,
"LaLota, Nick",New York,1,Republican,freshman,House,Y,Y,N,N,N,C00813063,Leadership and Loyalty Only to America PAC,,,,,,
"Garbarino, Andrew R.",New York,2,Republican,incumbent,House,Y,Y,N,N,N,C00770297,BAKER PAC,,,,,,
"Suozzi, Tom",New York,3,Democratic,freshman,House,Y,Y,N,N,N,C00669929,Common Good PAC,,,,,,
"D'Esposito, Anthony",New York,4,Republican,freshman,House,Y,Y,N,N,N,C00814897,DESP4NY PAC (DEDICATED TO ENSURING SAFETY AND PROVIDING 4 NEW YORK),,,,,,
"Meeks, Gregory W.",New York,5,Democratic,incumbent,House,Y,Y,N,N,N,C00377143,Build America PAC,,,,,,
"Meng, Grace",New York,6,Democratic,incumbent,House,Y,Y,N,N,N,C00552489,At the Table!,,,,,,
"Velazquez, Nydia M.",New York,7,Democratic,incumbent,House,Y,Y,N,N,N,C00351056,Progress PAC,,,,,,
"Jeffries, Hakeem S.",New York,8,Democratic,incumbent,House,Y,Y,N,N,N,C00617803,Jobs Education & Families First,,,,,,
"Clarke, Yvette D.",New York,9,Democratic,incumbent,House,Y,Y,N,N,N,C00625558,Milk River PAC,,,,,,
"Goldman, Daniel S.",New York,10,Democratic,freshman,House,Y,Y,N,N,N,C00826297,DEMOCRACY ACTION NOW PAC,,,,,,
"Malliotakis, Nicole",New York,11,Republican,incumbent,House,Y,Y,N,N,N,C00760397,NO NONSENSE PAC,,,,,,
"Nadler, Jerrold",New York,12,Democratic,incumbent,House,Y,Y,N,N,N,C00363317,Jerry's PAC,,,,,,
"Espaillat, Adriano",New York,13,Democratic,incumbent,House,Y,Y,N,N,N,C00764993,LIBERTY-LIBERTAD PAC,,,,,,
"Ocasio-Cortez, Alexandria",New York,14,Democratic,incumbent,House,Y,Y,N,N,N,C00692202,Courage to Change PAC,,,,,,
"Torres, Ritchie",New York,15,Democratic,incumbent,House,Y,Y,N,N,N,C00753947,LA BAMBA PAC,C00834762,CHUTZ PAC,,,,
"Bowman, Jamaal",New York,16,Democratic,incumbent,House,Y,Y,N,N,N,C00827295,FOR THE CHILDREN PAC,,,,,,
"Lawler, Michael",New York,17,Republican,freshman,House,Y,Y,N,N,N,C00817338,MVL PAC,,,,,,
"Ryan, Patrick",New York,18,Democratic,incumbent,House,Y,Y,N,N,N,C00832576,GREAT CHAIN PAC,,,,,,
"Molinaro, Marcus J.",New York,19,Republican,freshman,House,Y,Y,N,N,N,C00817825,RED HOOK PAC,,,,,,
"Tonko, Paul",New York,20,Democratic,incumbent,House,Y,Y,N,N,N,C00508010,Progressives Advancing United Leadership,,,,,,
"Stefanik, Elise M.",New York,21,Republican,incumbent,House,Y,Y,N,N,N,C00570945,E-PAC,,,,,,
"Williams, Brandon",New York,22,Republican,freshman,House,Y,Y,N,N,N,C00809574,Central New York PAC,,,,,,
"Langworthy, Nicholas A.",New York,23,Republican,freshman,House,Y,Y,Y,N,N,C00827881,CIRCLE THE WAGONS PAC,C00878785,RIGHT HERE RIGHT NOW PAC,,,,
"Tenney, Claudia",New York,24,Republican,incumbent,House,Y,Y,N,N,N,C00635367,Tenacious PAC,,,,,,
"Morelle, Joseph D.",New York,25,Democratic,incumbent,House,Y,Y,N,N,N,C00714501,Leaders in Life Acting Cooperatively (LILAC) PAC,,,,,,
"Kennedy, Tim",New York,26,Democratic,freshman,House,Y,Y,,,,C00881698,Rebuild America PAC,,,,,,
"Gillibrand, Kirsten E.",New York,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00525600,Off the Sidelines,,,,,,
"Schumer, Charles E.",New York,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00348607,Impact,,,,,,
"Davis, Donald G.",North Carolina,1,Democratic,freshman,House,Y,Y,N,N,N,C00854430,PEOPLE IN RURAL AREAS TRANSFORM ELECTIONS (PIRATE) PAC,,,,,,
"Ross, Deborah K.",North Carolina,2,Democratic,incumbent,House,Y,Y,N,N,N,C00768408,CAROLINA VICTORY FUND,,,,,,
"Murphy, Gregory",North Carolina,3,Republican,incumbent,House,Y,Y,N,N,N,C00724229,Victory East,,,,,,
"Foushee, Valerie P.",North Carolina,4,Democratic,freshman,House,Y,Y,N,N,N,C00838649,LONGLEAF PAC,,,,,,
"Foxx, Virginia",North Carolina,5,Republican,incumbent,House,Y,Y,N,N,N,C00525212,Victory & Freedom PAC,,,,,,
"Manning, Kathy E.",North Carolina,6,Democratic,incumbent,House,Y,Y,N,N,N,C00779520,KMPAC,,,,,,
"Rouzer, David",North Carolina,7,Republican,incumbent,House,Y,Y,N,N,N,C00577288,Deciding Critical Races,,,,,,
"Bishop, Dan",North Carolina,8,Republican,incumbent,House,Y,N,N,N,N,,,,,,,,
"Hudson, Richard",North Carolina,9,Republican,incumbent,House,Y,Y,N,N,N,C00540146,First In Freedom Pac,,,,,,
"McHenry, Patrick T.",North Carolina,10,Republican,incumbent,House,Y,Y,N,N,N,C00540187,More Conservatives PAC,,,,,,
"Edwards, Chuck",North Carolina,11,Republican,freshman,House,Y,Y,N,N,N,C00828426,BLUE RIDGE VICTORY FUND,,,,,,
"Adams, Alma S.",North Carolina,12,Democratic,incumbent,House,Y,Y,N,N,N,C00572586,Capitol Heel PAC,,,,,,
"Nickel, Wiley",North Carolina,13,Democratic,freshman,House,Y,Y,N,N,N,C00839662,COYOTE PAC,,,,,,
"Jackson, Jeff",North Carolina,14,Democratic,freshman,House,Y,N,N,N,N,,,,,,,,
"Budd, Ted",North Carolina,At Large,Republican,freshman,Senate,Y,Y,N,N,N,C00633818,Old North State PAC,C00834507,BUILDING UP DEMOCRACY'S DREAM,,,,
"Tillis, Thomas",North Carolina,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00571323,Together Holding Our Majority PAC,C00768085,NC RED,,,,
"Armstrong, Kelly",North Dakota,At Large,Republican,incumbent,House,Y,Y,N,N,N,C00691147,Roughrider PAC,,,,,,
"Cramer, Kevin",North Dakota,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00543207,Badlands PAC,C00691915,Prayerie PAC,,,,
"Hoeven, John",North Dakota,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00493072,Dakota PAC,,,,,,
"Sablan, Gregorio Kilili Camacho",Northern Mariana Islands,At Large,Democratic,incumbent,House,N,N,N,N,N,,,,,,,,
"Landsman, Greg",Ohio,1,Democratic,freshman,House,Y,Y,N,N,N,C00884692,DEMOCRACY & FREEDOM PAC,,,,,,
"Wenstrup, Brad R.",Ohio,2,Republican,incumbent,House,Y,Y,N,N,N,C00590356,Building & Restoring the American Dream,,,,,,
"Beatty, Joyce",Ohio,3,Democratic,incumbent,House,Y,Y,N,N,N,C00545236,New Voice PAC,,,,,,
"Jordan, Jim",Ohio,4,Republican,incumbent,House,Y,Y,Y,N,N,C00552851,House Freedom Fund,C00693796,Buckeye Liberty PAC,,,,
"Latta, Robert E.",Ohio,5,Republican,incumbent,House,Y,Y,N,N,N,C00485540,LATTA PAC,,,,,,
"Rulli, Michael",Ohio,6,Republican,freshman,House,Y,Y,N,N,N,C00859546,OHIO VALLEY LEADERSHIP PAC,,,,,,
"Miller, Max L.",Ohio,7,Republican,freshman,House,Y,Y,N,N,N,C00775999,DEPENDABLE CONSERVATIVE LEADERSHIP PAC,,,,,,
"Davidson, Warren",Ohio,8,Republican,incumbent,House,Y,Y,N,N,N,C00634519,Defend Freedom PAC,,,,,,
"Kaptur, Marcy",Ohio,9,Democratic,incumbent,House,Y,Y,N,N,N,C00417865,Truedem Leadership Fund,,,,,,
"Turner, Michael R.",Ohio,10,Republican,incumbent,House,Y,Y,N,N,N,C00525238,Impact Cmte,,,,,,
"Brown, Shontel M.",Ohio,11,Democratic,incumbent,House,Y,Y,N,N,N,C00804153,Strength in Seven PAC,,,,,,
"Balderson, Troy",Ohio,12,Republican,incumbent,House,Y,Y,N,N,N,C00706176,"TROY PAC, Your Ohio Republican Team",,,,,,
"Sykes, Emilia Strong",Ohio,13,Democratic,freshman,House,Y,Y,N,N,N,C00723676,We Belong Here PAC,,,,,,
"Joyce, David P.",Ohio,14,Republican,incumbent,House,Y,Y,N,N,N,C00571216,Defending American Values Everywhere,,,,,,
"Carey, Mike",Ohio,15,Republican,incumbent,House,Y,Y,N,N,N,C00787879,CARRY ON PAC,,,,,,
"Brown, Sherrod",Ohio,At Large,Democratic,incumbent,Senate,Y,Y,Y,N,N,C00331694,America Works Federal,C00690073,America Works State & Local PAC,,,,
"Vance, J. D.",Ohio,At Large,Republican,freshman,Senate,Y,Y,N,N,N,C00783167,Working for Ohio,,,,,,
"Hern, Kevin",Oklahoma,1,Republican,incumbent,House,Y,Y,N,N,N,C00692715,Help Elect Republicans Now,,,,,,
"Brecheen, Josh",Oklahoma,2,Republican,freshman,House,Y,Y,N,N,N,C00827394,BLESSING OF LIBERTY,,,,,,
"Lucas, Frank D.",Oklahoma,3,Republican,incumbent,House,Y,Y,N,N,N,C00489906,Funding Developing Leadership PAC,,,,,,
"Cole, Tom",Oklahoma,4,Republican,incumbent,House,Y,Y,N,N,N,C00404392,COLE PAC,,,,,,
"Bice, Stephanie I.",Oklahoma,5,Republican,incumbent,House,Y,Y,N,N,N,C00765644,BIG IDEAS CREATE EXCELLENCE - BICE PAC,,,,,,
"Lankford, James",Oklahoma,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00492058,Lank PAC,,,,,,
"Mullin, Markwayne",Oklahoma,At Large,Republican,freshman,Senate,Y,Y,N,N,N,C00567545,Boots PAC,,,,,,
"Bonamici, Suzanne",Oregon,1,Democratic,incumbent,House,Y,Y,N,N,N,C00543116,Good Friends PAC,,,,,,
"Bentz, Cliff",Oregon,2,Republican,incumbent,House,Y,Y,N,N,N,C00761528,OREGON FRONTIER PAC,,,,,,
"Blumenauer, Earl",Oregon,3,Democratic,incumbent,House,Y,Y,N,N,N,C00323352,Committee for a Livable Future,,,,,,
"Hoyle, Val T.",Oregon,4,Democratic,freshman,House,Y,Y,N,N,N,C00848556,McKenzie River PAC,,,,,,
"Chavez-DeRemer, Lori",Oregon,5,Republican,freshman,House,Y,Y,N,N,N,C00819102,DREAMAKERS PAC,,,,,,
"Salinas, Andrea",Oregon,6,Democratic,freshman,House,Y,Y,N,N,N,C00850784,WILLAMETTE VALLEY PAC,,,,,,
"Merkley, Jeff",Oregon,At Large,Democratic,incumbent,Senate,Y,Y,Y,Y,N,C00460972,Blue Wave PAC,C00605410,Climate Champions PAC,C00743641,Blue Senate PAC,,
"Wyden, Ron",Oregon,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00392738,Holding Onto Oregon's Priorities,,,,,,
"Fitzpatrick, Brian K.",Pennsylvania,1,Republican,incumbent,House,Y,Y,N,N,N,C00647354,Bringing America Together,,,,,,
"Boyle, Brendan F.",Pennsylvania,2,Democratic,incumbent,House,Y,Y,N,N,N,C00584805,BFB PAC,,,,,,
"Evans, Dwight",Pennsylvania,3,Democratic,incumbent,House,Y,Y,N,N,N,C00630541,Block By Block PAC,,,,,,
"Dean, Madeleine",Pennsylvania,4,Democratic,incumbent,House,Y,Y,N,N,N,C00757344,Making A Difference PAC,,,,,,
"Scanlon, Mary Gay",Pennsylvania,5,Democratic,incumbent,House,Y,Y,N,N,N,C00699421,MGS PAC,,,,,,
"Houlahan, Chrissy",Pennsylvania,6,Democratic,incumbent,House,Y,Y,N,N,N,C00708636,HoulaPAC,,,,,,
"Wild, Susan",Pennsylvania,7,Democratic,incumbent,House,Y,Y,N,N,N,C00776310,WE INVEST IN LIVES AND DREAMS (WILD) PAC,,,,,,
"Cartwright, Matt",Pennsylvania,8,Democratic,incumbent,House,Y,Y,N,N,N,C00547448,Making Americans Count PAC,,,,,,
"Meuser, Daniel",Pennsylvania,9,Republican,incumbent,House,Y,Y,N,N,N,C00708172,DAN PAC,,,,,,
"Perry, Scott",Pennsylvania,10,Republican,incumbent,House,Y,Y,N,N,N,C00528075,First Capital PAC,,,,,,
"Smucker, Lloyd",Pennsylvania,11,Republican,incumbent,House,Y,Y,N,N,N,C00656777,Jam PAC,,,,,,
"Lee, Summer L.",Pennsylvania,12,Democratic,freshman,House,Y,N,N,N,N,,,,,,,,
"Joyce, John",Pennsylvania,13,Republican,incumbent,House,Y,Y,N,N,N,C00691501,Re-Joyce PAC,,,,,,
"Reschenthaler, Guy",Pennsylvania,14,Republican,incumbent,House,Y,Y,N,N,N,C00689208,RVFPAC,,,,,,
"Thompson, Glenn",Pennsylvania,15,Republican,incumbent,House,Y,Y,N,N,N,C00526715,Greater Tomorrow PAC,,,,,,
