NAME,STATE,DISTRICT,PARTY,EXPERIENCE,CHAMBER,VOTING_MEMBER,LEADERSHIP_PAC_1,LEADERSHIP_PAC_2,LEADERSHIP_PAC_3,LEADERSHIP_PAC_4,LEADERSHIP_PAC_1_ID,LEADERSHIP_PAC_1_NAME,LEADERSHIP_PAC_2_ID,LEADERSHIP_PAC_2_NAME,LEADERSHIP_PAC_3_ID,LEADERSHIP_PAC_3_NAME,LEADERSHIP_PAC_4_ID,LEADERSHIP_PAC_4_NAME
"Welch, Peter",Vermont,At Large,Democratic,freshman,Senate,Y,Y,N,N,N,C00542621,Maple PAC,,,,,,
"Plaskett, Stacey E.",Virgin Islands,At Large,Democratic,incumbent,House,N,Y,N,N,N,C00700203,GRANGE PAC,,,,,,
"Wittman, Robert J.",Virginia,1,Republican,incumbent,House,Y,Y,N,N,N,C00524314,America's First PAC,,,,,,
"Kiggans, Jennifer A",Virginia,2,Republican,freshman,House,Y,N,N,N,N,,,,,,,,
"Scott, Robert C. ""Bobby""",Virginia,3,Democratic,incumbent,House,Y,Y,N,N,N,C00625111,Strengthening Virginia's Working Families PAC,,,,,,
"McClellan, Jennifer ",Virginia,4,Democratic,freshman,House,Y,Y,N,N,N,C00893388,JOYFULLY MOBILIZING ACTION AND COMMUNITY PAC - JMAC PAC,,,,,,
"Good, Bob",Virginia,5,Republican,incumbent,House,Y,Y,N,N,N,C00801993,VA Conservative Leadership Fund,,,,,,
"Cline, Ben",Virginia,6,Republican,incumbent,House,Y,Y,N,N,N,C00798025,CONSERVATIVE LEADERSHIP IN ELECTIONS (CLINE PAC),,,,,,
"Spanberger, Abigail Davis",Virginia,7,Democratic,incumbent,House,Y,Y,N,N,N,C00830174,SECURING PROGRESS ACROSS OUR NATION PAC (SPAN PAC),,,,,,
"Beyer, Donald S., Jr.",Virginia,8,Democratic,incumbent,House,Y,Y,N,N,N,C00566562,BackPAC,,,,,,
"Griffith, H. Morgan",Virginia,9,Republican,incumbent,House,Y,Y,N,N,N,C00520841,Fightin' Ninth PAC,,,,,,
"Wexton, Jennifer",Virginia,10,Democratic,incumbent,House,Y,Y,N,N,N,C00705152,Women Excel PAC,,,,,,
"Connolly, Gerald E.",Virginia,11,Democratic,incumbent,House,Y,Y,N,N,N,C00498931,Commonwealth PAC,,,,,,
"Kaine, Tim",Virginia,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00538835,Common Ground PAC,,,,,,
"Warner, Mark R.",Virginia,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00412791,Forward Together PAC,,,,,,
"DelBene, Suzan K.",Washington,1,Democratic,incumbent,House,Y,Y,Y,N,N,C00576090,Evergreen PAC,C00844720,Democratic Majority Fund,,,,
"Larsen, Rick",Washington,2,Democratic,incumbent,House,Y,Y,N,N,N,C00551168,Puget PAC,,,,,,
"Perez, Marie Gluesenkamp",Washington,3,Democratic,freshman,House,Y,Y,N,N,N,C00833574,TIMBER PAC,,,,,,
"Newhouse, Dan",Washington,4,Republican,incumbent,House,Y,Y,N,N,N,C00611400,New Energy In Washington,,,,,,
"McMorris Rodgers, Cathy",Washington,5,Republican,incumbent,House,Y,Y,N,N,N,C00469429,CMR PAC,,,,,,
"Kilmer, Derek",Washington,6,Democratic,incumbent,House,Y,Y,N,N,N,C00531632,Defense Economic Renewal Education & Knowledge PAC,,,,,,
"Jayapal, Pramila",Washington,7,Democratic,incumbent,House,Y,Y,Y,N,N,C00685552,Medicare for All PAC,C00629576,Build Our Movement,,,,
"Schrier, Kim",Washington,8,Democratic,incumbent,House,Y,N,N,N,N,,,,,,,,
"Smith, Adam",Washington,9,Democratic,incumbent,House,Y,Y,N,N,N,C00492025,American Defense & Military PAC,,,,,,
"Strickland, Marilyn",Washington,10,Democratic,incumbent,House,Y,Y,N,N,N,C00765727,TAHOMA PAC,,,,,,
"Cantwell, Maria",Washington,At Large,Democratic,incumbent,Senate,Y,N,N,N,N,,,,,,,,
"Murray, Patty",Washington,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00365270,M-PAC,,,,,,
"Miller, Carol D.",West Virginia,1,Republican,incumbent,House,Y,Y,N,N,N,C00691626,Cut the Bull PAC,,,,,,
"Mooney, Alexander X.",West Virginia,2,Republican,incumbent,House,Y,Y,N,N,N,C00641142,Americans for Legislating Excellence PAC,,,,,,
"Capito, Shelley Moore",West Virginia,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00489336,Wild & Wonderful PAC,,,,,,
"Manchin, Joe, III",West Virginia,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00484402,Country Roads PAC,,,,,,
"Steil, Bryan",Wisconsin,1,Republican,incumbent,House,Y,Y,N,N,N,C00697326,On Wisconsin PAC,,,,,,
"Pocan, Mark",Wisconsin,2,Democratic,incumbent,House,Y,Y,N,N,N,C00529693,Blue Majority PAC,,,,,,
"Van Orden, Derrick",Wisconsin,3,Republican,freshman,House,Y,Y,N,N,N,C00809012,Frogman PAC,,,,,,
"Moore, Gwen",Wisconsin,4,Democratic,incumbent,House,Y,Y,N,N,N,C00431478,GWEN PAC,,,,,,
"Fitzgerald, Scott",Wisconsin,5,Republican,incumbent,House,Y,Y,N,N,N,C00760694,Sconnie PAC,,,,,,
"Grothman, Glenn",Wisconsin,6,Republican,incumbent,House,Y,Y,N,N,N,C00628669,1848 PAC,,,,,,
"Tiffany, Thomas P.",Wisconsin,7,Republican,incumbent,House,Y,Y,N,N,N,C00747204,Dam Man PAC,,,,,,
"Wied, Tony",Wisconsin,8,Republican,freshman,House,Y,Y,,,,C00875781,RIGHT WISCONSIN PAC,,,,,,
"Baldwin, Tammy",Wisconsin,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00410092,People's Voice PAC,,,,,,
"Johnson, Ron",Wisconsin,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00497842,Strategy PAC,,,,,,
"Hageman, Harriet M.",Wyoming,At Large,Republican,freshman,House,Y,Y,N,N,N,C00799809,1890 PAC,,,,,,
"Barrasso, John",Wyoming,At Large,Republican,incumbent,Senate,Y,Y,Y,N,N,C00442368,Common Values PAC,C00876912,LASSO PAC,,,,
"Lummis, Cynthia M.",Wyoming,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00762682,Steer PAC,,,,,,
